province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,mean_velocity,median_velocity,std_velocity
Ca Mau,29,23,8,SE,0.1,78,45,1010,2021-01-23,8.272727272727273,1.0,8.77600033148255
Ca Mau,34,27,6,SSW,7.7,70,72,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541
Ca Mau,38,26,7,SSW,0.0,59,10,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718
Ca Mau,33,27,11,WSW,1.0,68,46,1008,2021-04-22,1.25,1.0,0.5
Ca Mau,31,26,13,SW,1.6,80,65,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356
Ca Mau,31,27,7,SSW,27.5,81,57,1008,2020-09-11,19.55,8.0,19.782848912912186
Ca Mau,30,22,9,SW,0.0,75,17,1011,2020-12-06,44.54545454545455,47.0,10.985113894390322
Ca Mau,28,19,15,E,3.6,88,84,1007,2020-12-24,19.950819672131146,9.0,24.22955937014749
Long Xuyen,32,23,9,ESE,0.1,72,38,1010,2021-01-04,17.157894736842106,15.0,15.22128673893248
Ca Mau,28,24,16,ENE,14.9,89,78,1010,2020-12-01,47.707692307692305,49.0,5.962704600585722
Long Xuyen,29,23,8,SE,1.5,82,53,1010,2021-01-23,8.272727272727273,1.0,8.77600033148255
Long Xuyen,31,21,5,ESE,0.0,75,14,1010,2021-01-15,25.104347826086958,22.0,20.714167502377503
Long Xuyen,37,27,15,SSW,0.0,56,16,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718
Long Xuyen,34,25,10,S,7.4,69,69,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541
Long Xuyen,33,28,14,SW,6.6,67,61,1008,2021-04-22,1.25,1.0,0.5
Long Xuyen,30,25,21,SW,43.3,84,74,1005,2020-08-03,19.96718651044965,20.0,11.491157496711356
Long Xuyen,33,28,10,SSW,7.1,75,55,1007,2020-09-11,19.55,8.0,19.782848912912186
Long Xuyen,28,24,12,NE,2.0,83,72,1011,2020-12-01,47.707692307692305,49.0,5.962704600585722
Long Xuyen,31,22,15,SW,0.0,70,5,1011,2020-12-06,44.54545454545455,47.0,10.985113894390322
Long Xuyen,28,22,12,ENE,16.9,83,91,1008,2020-12-24,19.950819672131146,9.0,24.22955937014749
